KEY,TIMESTAMP,time_to_exp,open_bet,close_bet,avg_price_up,high_bet,low_bet,total_volume,trade_count,stock_open_day,stock_close,stock_avg_period,stock_vol,poly_vol_imbalance,bs_neutral_prob,true_sentiment,next_stock_move,curr_stock_move,next_true_sent,abs_sentiment
GOOGL,2026-04-09 14:35:00,5.353611111111114,0.05,0.05,0.05,0.05,0.05,50.83,5,318.489990234375,311.82000732421875,311.48000081380206,0.24660864144959335,-0.9484572338818954,0.0019665498228057794,0.04803345017719422,0.0016982517431916987,-0.002050311899489873,-0.007685187240238145,0.04803345017719422
GOOGL,2026-04-09 14:40:00,5.25138888888889,0.04,0.05,0.045,0.05,0.04,23.0832,4,318.489990234375,312.3500061035156,312.0166320800781,0.2539338255555756,-0.9029731579347579,0.004651737063043922,0.04034826293695608,0.0012477697091371482,0.0016982517431916987,0.008961407220067705,0.04034826293695608
GOOGL,2026-04-09 14:45:00,5.206944444444446,0.04,0.07,0.05778571428571429,0.07,0.04,91.3354,7,318.489990234375,312.739990234375,312.5166931152344,0.25996880670645056,-0.0659810230446558,0.008476044128690501,0.04930967015702378,0.002172043748345067,0.0012477697091371482,0.0012244976191657167,0.04930967015702378
GOOGL,2026-04-09 14:55:00,5.030833333333334,0.07,0.07,0.07,0.07,0.07,400.0,2,318.489990234375,313.4200134277344,313.23000081380206,0.26939627799251376,0.0,0.019465832223810507,0.0505341677761895,0.0020939786237069453,0.002172043748345067,-0.010410923761349646,0.0505341677761895
GOOGL,2026-04-09 15:00:00,4.949166666666667,0.05,0.09,0.08,0.1,0.05,634.9778,14,318.489990234375,314.0769958496094,313.7656656901042,0.27836097595452536,0.0,0.03987675598516015,0.040123244014839854,0.00042335942059141336,0.0020939786237069453,0.03629623812742466,0.040123244014839854
GOOGL,2026-04-09 15:05:00,4.862500000000001,0.1,0.13,0.12,0.13,0.1,1355.68,6,318.489990234375,314.2099914550781,314.0303955078125,0.2789266401056598,0.0,0.043580517857735486,0.07641948214226452,0.0013358358012796412,0.00042335942059141336,0.003203573811008026,0.07641948214226452
GOOGL,2026-04-09 15:10:00,4.785833333333336,0.14,0.15,0.14285714285714285,0.15,0.14,641.8934,7,318.489990234375,314.6300048828125,314.3999938964844,0.28365763064243993,0.0,0.0632340869038703,0.07962305595327254,0.0029831898455137764,0.0013358358012796412,0.008399358349809344,0.07962305595327254
GOOGL,2026-04-09 15:15:00,4.669166666666669,0.19,0.27,0.22058823529411764,0.27,0.19,297.7996,17,318.489990234375,315.57000732421875,315.24000040690106,0.2975812919696139,-0.5614539671897063,0.13256582099103575,0.08802241430308189,0.00022143269363376553,0.0029831898455137764,0.04044695004722876,0.08802241430308189
GOOGL,2026-04-09 15:20:00,4.586944444444445,0.28,0.25,0.265,0.28,0.25,90.12,4,318.489990234375,315.639892578125,315.40329996744794,0.29791511118095665,0.3054489639293936,0.13653063564968937,0.12846936435031064,-0.00015809213478140216,0.00022143269363376553,-0.04316905325041423,0.12846936435031064
GOOGL,2026-04-09 15:25:00,4.5425,0.19,0.19,0.215,0.24,0.19,458.8106,8,318.489990234375,315.5899963378906,315.2883707682292,0.29603562038972586,0.3078667363504255,0.12969968890010358,0.08530031109989641,0.001962631618173125,-0.00015809213478140216,-0.03176446746156561,0.08530031109989641
GOOGL,2026-04-09 15:30:00,4.458611111111111,0.19,0.19,0.19,0.19,0.19,114.09719999999999,2,318.489990234375,316.2099914550781,315.7333272298177,0.24108463752918316,-0.81,0.1364641563616692,0.053535843638330805,-3.155942502463179e-05,0.001962631618173125,0.15315165161196242,0.053535843638330805
